number,name,url,result,notes
132,All other trainings,https://leadership.opm.gov/search.aspx?c=11&sortby=2,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
133,Thinking Strategically as a Manager,https://share.percipio.com/cd/bf1HenVSk,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
134,Using Strategic Thinking to Consider the Big Picture,https://share.percipio.com/cd/qdoTIajNU,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
135,(CHANNEL) Strategic Thinking,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/aecb2de0-7f28-5571-94c9-805a184bfc0c,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
136,Leading with Strategic Thinking,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/e8ffcdfe-5cf9-5677-a686-d1d1de206566,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
137,Expert Insights on Strategic Thinking,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/660edb16-8e1f-5c56-9dbc-c189fce1df8c,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
138,Tactical to Strategic Thinking,https://www.managementconcepts.com/course/id/4062,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/4062
139,Strategic Planning for Government Organizations,https://www.graduateschool.edu/courses/strategic-planning-for-government-organizations,FORBIDDEN (403),env=external. tld=all. HEAD returned 403 (server may not support HEAD)
140,Team Development,https://leadership.opm.gov/programs.aspx?course=150,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
141,Conflict and Negotiations for Federal Executives,https://leadership.opm.gov/programs.aspx?course=195,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
142,Building and Leading Successful Teams,https://share.percipio.com/cd/Gtum_LvgU,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
143,Effective Team Communication,https://share.percipio.com/cd/PO3vR5Mtl,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
144,Trust Building through Effective Communication,https://share.percipio.com/cd/qvbLGNM-I,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
145,(ASSESSMENT) Effective Teamwork,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/ae685ef9-c1da-5ae8-a049-732ac19b6c25,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
146,Jumpstart High-Performing Teams,https://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=1232&SectionID=20994&_ga=2.4337075.1653664909.1597668799-1279683641.1597668799,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/federal-government-training
147,Managing Virtual Teams,https://www.managementconcepts.com/course/id/4730,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/4730
148,Working on Virtual Teams,https://www.managementconcepts.com/course/id/4370,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/4370
149,Building Effective Teams,https://www.strategyex.com/explore-our-courses/adaptive-strategic-execution-program/building-effective-teams,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.kornferry.com
150,Supervisory Development 1: Fundamentals,https://leadership.opm.gov/programs.aspx?course=124,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
151,Design in Government: Designing Accessible Communications,https://leadership.opm.gov/programs.aspx?course=328,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
152,(CHANNEL) Written Communication,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/603b9357-ecf2-517a-9b17-dc4d275c10ee,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
153,Editing and Proofreading Business Documents,https://share.percipio.com/cd/2S_E6DWrt,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
154,Clarity and Conciseness in Business Writing,https://share.percipio.com/cd/VpdpsTWBw,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
155,Improving Your Technical Writing Skills,https://share.percipio.com/cd/FknMm9lmG,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
156,"Communicating Up, Down, and Across Organizations",https://bmra.com/course-item/communicating-up-down-and-across-organizations/,OK (200),env=external. tld=all
157,Business Writing Matters,https://careerstonegroup.com/training-writing-matters.html,OK (200),env=external. tld=all
158,Report Writing,https://www.federaltraining.com/courses/written_communication/Report_Writing_fundamentals_training.aspx,FORBIDDEN (403),env=external. tld=all. HEAD returned 403 (server may not support HEAD)
159,Fundamentals of Writing,https://www.graduateschool.edu/courses/fundamentals-of-writing,FORBIDDEN (403),env=external. tld=all. HEAD returned 403 (server may not support HEAD)
160,Government Technical Writing,https://www.bmra.com/professional-development/Government-Technical-Writing,NOT FOUND (404),env=external. tld=all. Redirected (HEAD) → https://bmra.com/professional-development/Government-Technical-Writing. HEAD returned 404; confirming with GET
161,GSA Acquisition Portal \- Acquisition Career Management,https://insite.gsa.gov/employee-resources/acquisition-purchases-and-payments/acquisition-portal/acquisition-career-management,OK (200),env=external. tld=all. Domain 'insite.gsa.gov' is internal/restricted — results may fail or require authentication from outside VPN. Redirected (HEAD) → https://auth.gsa.gov/oauth2/v1/authorize?client_id=0oabren9fzQyIdP7A4h7&response_type=code&scope=openid%20email%20profile&redirect_uri=https%3A//insite.gsa.gov/openid-connect/okta&state=0eorrsRECuwCIn8UtVCxmRyaw0QnMnK6hI1eNGnjoQM&code_challenge_method=S256&code_challenge=brZTQHRAmiX1EjoODfF-uYGa65CoG4GISIpImNUiFtk
162,Acquisition Overview,https://gsa.csod.com/ui/lms-learning-details/app/course/52d8952c-ea95-4042-8a5c-9b8e09acbf1f,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
163,Acquisition Strategy,https://www.managementconcepts.com/Training/Browse-Training?search=Acquisition,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/search/courses/?search=Acquisition
164,OMB Max Budget Training (recorded sessions),https://community.max.gov/display/Budget/Budget+LoB+Budget+Training,OK (200),env=external. tld=all. Domain 'community.max.gov' is internal/restricted — results may fail or require authentication from outside VPN. Redirected (HEAD) → https://login.max.gov/cas/login?service=https%3A%2F%2Fcommunity.connect.gov%2Fpages%2Ftinyurl.action%3FurlIdentifier%3DpoQVkQ%2F
165,(CHANNEL) Budgeting,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/4939f731-da02-56c8-aabe-57d391ec54ec,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
166,Basic Budgeting for Non-financial Professionals,https://share.percipio.com/cd/d9d2ShBiF,OK (200),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=200
167,(ASSESSMENT) Finance and Budgeting Skills,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/da644354-f20a-57a0-8824-690f87a065ed,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
168,Creating a Project Schedule and Budget,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/4afd7ffb-b759-50b5-a207-c8d2964514b2,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
169,The Federal Budget Process,https://www.managementconcepts.com/course/id/5090,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/5090
170,Federal Budgeting: An Introduction,https://www.federaltraining.com/courses/financial-management-federal-budget/federal-budgeting-training.aspx,FORBIDDEN (403),env=external. tld=all. HEAD returned 403 (server may not support HEAD)
171,Advanced Budget and Appropriations Process,https://gai.georgetown.edu/?p=470,NOT FOUND (404),env=external. tld=all. HEAD returned 404; confirming with GET
172,Budget Formulation,https://www.managementconcepts.com/course/id/5118,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/5118
173,"Budget Analyst’s Essential Guide to Formulation, Justification, and Execution",https://www.managementconcepts.com/course/id/5321,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/5321
174,Data Compliance Channel,https://share.percipio.com/cd/EeXsPDppT,SERVER ERROR (500),"env=external. tld=all. Stripped trailing chars from URL (was ""https://share.percipio.com/cd/EeXsPDppT'""). HEAD returned 400; confirming with GET. HEAD=400 vs GET=500"
175,Compliance Short Cybersecurity,https://gsa.csod.com/ui/lms-learning-details/app/course/1a80d8f2-937a-4d24-b43b-f4e6b4afa155,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
176,"Cloud Security, Risk, and Compliance: Risk & Compliance in the Cloud Era",https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/7ca21b4d-e2eb-507b-9fc3-0453e0433a78,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
177,Compliance Brief: Sanctions,https://gsa.csod.com/ui/lms-learning-details/app/course/e9cf6083-c5bd-445a-86b0-6d3bb45cfbd0,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
178,Compliance Training Program Management,https://gsa.csod.com/ui/lms-learning-details/app/course/e3b7c195-4aae-4f18-81d7-b7ed02837b52,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
179,Advanced Legislative Process,https://gai.georgetown.edu/advanced-legislative-process-2-days/,OK (200),env=external. tld=all
180,FAC-COR Training,https://www.fai.gov/certification/fac-cor,OK (200),env=external. tld=all
181,FAC-P/PM,https://insite.gsa.gov/employee-resources/acquisition-purchases-and-payments/acquisition-portal/acquisition-career-management/certification-programs/federal-acquisition-certification-for-program-project-managers-facp-pm,OK (200),env=external. tld=all. Domain 'insite.gsa.gov' is internal/restricted — results may fail or require authentication from outside VPN. Redirected (HEAD) → https://auth.gsa.gov/oauth2/v1/authorize?client_id=0oabren9fzQyIdP7A4h7&response_type=code&scope=openid%20email%20profile&redirect_uri=https%3A//insite.gsa.gov/openid-connect/okta&state=IFbvo14UTQwL8NvijLOfhcWfSgOBtY595NntMd7XtGk&code_challenge_method=S256&code_challenge=r2Ees01mT_pBiM7C1mykvZj_ujpDMQ2Uo2bxFGZa6gI
182,FAC-P/PM-IT Core-Plus Specialization,https://insite.gsa.gov/employee-resources/acquisition-purchases-and-payments/acquisition-portal/acquisition-career-management/certification-programs/facp-pm/facp-pmit-coreplus-specialization,OK (200),env=external. tld=all. Domain 'insite.gsa.gov' is internal/restricted — results may fail or require authentication from outside VPN. Redirected (HEAD) → https://auth.gsa.gov/oauth2/v1/authorize?client_id=0oabren9fzQyIdP7A4h7&response_type=code&scope=openid%20email%20profile&redirect_uri=https%3A//insite.gsa.gov/openid-connect/okta&state=H6bpEPzjMqxv39IHblBa98AXiyxgqVkeLsR_SsugJ9I&code_challenge_method=S256&code_challenge=gMMlAFBYe9I0_35vjM6cB3XiHLU-Ee5y0_R7sIh-wvA
183,Appropriation Law in Contracting,https://www.managementconcepts.com/Training/Browse-Training?search=Appropriation%20Law%20in%20Contracting,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/search/courses/?search=Appropriation+Law+in+Contracting
184,(CHANNEL) Data Analytics,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/917b3bc1-a3d8-51f5-8e7b-912d1e58d14b,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
185,Data Research Exploration Techniques,https://gsa.csod.com/samldefault.aspx?ouid=1&returnurl=%252fDeepLink%252fProcessRedirect.aspx%253fmodule%253dlodetails%2526lo%253d3e3cd8bc-651d-59c9-b3fe-87394584c5b6,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
186,Data Analysis Application,https://gsa.csod.com/samldefault.aspx?ouid=1&returnurl=%252fDeepLink%252fProcessRedirect.aspx%253fmodule%253dlodetails%2526lo%253d8df81085-1744-56ce-a8a2-f4adffa57147,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
187,CompTIA Data+: Data Analytics Tools,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/4461e20d-ecc0-51ed-baa5-1c19c0d3dd74,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
188,Azure Data Fundamentals: Data Analytics,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/e4e5dd2c-5aa2-5461-99ba-9f518332b302,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
189,(BOOK) Applied Economic Analysis of Information and Risk,http://V,INVALID URL,env=external. tld=all. Invalid hostname — no dots and not an IP address: 'v'
190,"(BOOK) Regression Analysis: Understanding and Building Business and Economic Models Using Excel, Second Edition",https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/b299fac5-447f-53d7-b9fc-8952b981c970,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
191,"(BOOK) Time Series Analysis and Adjustment: Measuring, Modelling and Forecasting for Business and Economics",https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/78daaeb7-bbef-57bf-bafd-d23e959bb7e8,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
192,The Federal Financial Process: An Overview,https://www.federaltraining.com/courses/federal_budget_financial_management/federal_financial_management_training.aspx,FORBIDDEN (403),env=external. tld=all. HEAD returned 403 (server may not support HEAD)
193,(CHANNEL) Financial Analysis,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/5d552511-9766-54d9-a0f2-e8dc2f8a274a,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
194,Financial Statement Analysis for Non-financial Professionals,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/29484b95-3b67-57a8-b9f3-441dbb4f8366,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
195,"(BOOK) Financial Analysis: A Controller's Guide, Second Edition",https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/c2464d85-52f1-5321-84e5-4ff06cd23ffe,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
196,(BOOK) Financial Management for Non-Financial Managers,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/576b4843-03cb-5d69-8b38-140494673c38,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
197,"(BOOK) The Executive's Guide to Financial Management: Improving Risk, Strategy, and Financial Performance",https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/0dadf48f-87b9-500d-b975-459b29e21ecd,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
198,(BOOK) Budgeting and Financial Management in the Federal Government,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/01be11d7-2f02-5553-a150-31bbc96a27ce,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
199,Federal Financial Management Overview,https://www.managementconcepts.com/course/id/5051,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/5051
200,Contemporary Issues In Federal Financial Management,https://www.managementconcepts.com/course/id/5749,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/5749
201,Senior Executive Forum: Using Agile Methods to Improve the Customer Experience,https://leadership.opm.gov/programs.aspx?course=343,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
202,Certified Information Systems Auditor (CISA) 2019: System Design & Analysis,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/afcbd18e-09cd-5b3b-90fa-8d269bb448c1,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
203,CCSP 2019: Cloud System Architecture Design,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/e947167c-ff6e-5bc2-990f-af69bcb85bae,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
204,Programming Fundamentals: Systematic Design with Pseudocode,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/9274a15f-80df-518f-8b16-7d5f06895fd4,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
205,FHRI SS002: Staffing Laws and Regulations,https://leadership.opm.gov/programs.aspx?course=263,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
206,Cybersecurity: Legal Considerations and Cybercrime Investigations,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/0975494a-a942-5ec8-ae2b-307c7fbb9e1d,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
207,FMLA Leave and More: An Overview of Legally Protected Leave,https://gsa.csod.com/ui/lms-learning-details/app/course/073d1602-4113-4ae7-a8b3-f04a14f38a48,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
208,Proper Use of Government Payment Cards,https://gsa.csod.com/ui/lms-learning-details/app/course/82d9efa9-5aa1-4604-8018-6f821df45513,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
209,Improper Business Practices in Government Contracting,https://gsa.csod.com/ui/lms-learning-details/app/course/90317fcd-f0b5-4bab-864f-9ae12b4cbee4,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
210,Congressional Justifications Workshop,https://gai.georgetown.edu/congressional-justifications-workshop-2-days/,OK (200),env=external. tld=all
211,Preparing and Delivering Congressional Testimony,https://gai.georgetown.edu/preparing-and-delivering-congressional-testimony-2-days/,OK (200),env=external. tld=all
212,"(CURRICULUM) Overview of Federal Programs & Guidelines: Program Laws, Regulations, Standards, and Executive Orders Curricula",https://gsa.csod.com/ui/lms-learning-details/app/curriculum/38a71e0f-3380-435e-a114-db3a9330e86c,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
213,Providing Comments at the FAR Section Level,https://gsa.csod.com/ui/lms-learning-details/app/course/a8059567-e086-4abe-97ad-3e48a987eaf8,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
214,Developing and Publishing Regulations,https://gsa.csod.com/ui/lms-learning-details/app/material/026a4016-5aba-4d69-a460-9b72f3242a14,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
215,Working and communication more effectively with Congres,https://gai.georgetown.edu/working-and-communicating-more-effectively-with-congress-2-days/,OK (200),env=external. tld=all
216,Performance Management Overview (GSA Supervisor Essentials),https://gsa.csod.com/ui/lms-learning-details/app/course/ab08cadf-c1e8-4053-86ae-c3bcf908a5ae,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
217,"(MATERIAL) Aligning Organizational & Employee Performance, Midyear & Hybrid Work",https://gsa.csod.com/ui/lms-learning-details/app/material/bd1f2a01-9aa4-4988-84c7-dc67b2fe85ab,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
218,Planning Performance and Developing SMART Performance Plans,https://gsa.csod.com/ui/lms-learning-details/app/course/1198ff68-b612-4345-b328-b3be9e49ab26,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
219,(CHANNEL) Performance Management & Measurement,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/5e369c9f-afd7-59b2-9887-31845f88cd32,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
220,Project Evaluation: Defining Success Metrics,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/8f5a89cb-e019-5042-9a3e-994501dfd47a,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
221,Planning Performance Cascading Goals,https://gsa.csod.com/ui/lms-learning-details/app/course/ddb2dacf-8ae4-458d-a6f7-e40ac5fdb6f5,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
222,Design in Government: Civic Design Studio,https://leadership.opm.gov/programs.aspx?course=341,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
223,Procurement Integrity,https://gsa.csod.com/ui/lms-learning-details/app/course/ace79ae3-a844-42d9-9d75-e91ba213fdea,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
224,Routing the Procurement Request,https://gsa.csod.com/ui/lms-learning-details/app/course/be45e242-e39e-493a-bd16-f9661803d16f,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
225,Implementing a Procurement Strategy (2021 Update),https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/3d4caddb-6264-5505-8c4c-776e95613e69,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
226,Deep Dive into Project Procurement (2021 Update),https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/d0f52c41-0133-5107-9da8-3474f8886694,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
227,IT Policy Landscape: Navigating the Life Cycle of a Federal IT Procurement,https://gsa.csod.com/ui/lms-learning-details/app/curriculum/fc198f14-fdec-4ffe-a068-6cf61c0d164f,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
228,Procurement Innovation,https://bmra.com/course-item/procurement-innovation/,OK (200),env=external. tld=all
229,Intermediate Agile Techniques For Contracting Professionals,https://www.managementconcepts.com/course/id/1042,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/1042
230,Applying Research Methods for Trend & Impact Analysis,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/7b226db7-9c28-5359-bf9f-4415246eff3f,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
231,Data Research: Data Research Techniques,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/a1a23d51-6bf2-5441-8f59-2a92aa401c3e,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
232,Data Research: Data Research Exploration Techniques,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/3e3cd8bc-651d-59c9-b3fe-87394584c5b6,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
233,Data Research: Data Research Statistical Approaches,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/864565af-79a5-5bf9-a38b-0a8bf79b189d,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
234,Data Collection Techniques,https://www.managementconcepts.com/course/id/4610,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/4610
235,Market Research,https://bmra.com/course-item/market-research/,OK (200),env=external. tld=all
236,Performing Risk Analysis (2021 Update),https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/4a4ed4c3-b5a6-575f-9f88-0bde41e96629,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
237,"Risk Analysis, Second Edition",https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/720c8a11-6de1-5017-8c8c-378ae3b79d98,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
238,Project Risk Management,https://www.managementconcepts.com/course/id/6103,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/6103
239,Risk Management: Project Risk Assessment,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/f0418f8e-d5ac-5530-bce6-b1de61158d6f,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
240,Assessing Your Organization's Risks,https://gsa.csod.com/ui/lms-learning-details/app/course/15d6b675-8613-420d-a043-f60cb4b5dec7,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
241,"Understanding Enterprise Risk Management, Internal Controls, And Fraud Prevention In The Federal Environment",https://www.managementconcepts.com/course/id/5892,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/5892
242,Aviation Management Policy Overview | GSA,https://www.gsa.gov/policy-regulations/policy/aviation-management-policy-overview,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.gsa.gov/policy-regulations/policy/aviation-management-policy
243,Climate Terms and Tools \- GSA Sustainable Facilities Tool,https://sftool.gov/learn/about/639/climate-terms-tools,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.gsa.gov/governmentwide-initiatives/federal-highperformance-buildings/highperformance-building-clearinghouse
244,Understand Climate Change \- Globalchange.gov,https://www.globalchange.gov/climate-change,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
245,Climate Action and Sustainability | GSA,https://www.gsa.gov/governmentwide-initiatives/climate-action-and-sustainability,NOT FOUND (404),env=external. tld=all. HEAD returned 404; confirming with GET
246,Greening Federal Buildings | GSA,https://www.gsa.gov/governmentwide-initiatives/climate-action-and-sustainability/greening-federal-buildings,NOT FOUND (404),env=external. tld=all. HEAD returned 404; confirming with GET
247,Federal High-Performance Green Buildings | GSA,https://www.gsa.gov/governmentwide-initiatives/federal-highperformance-green-buildings,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.gsa.gov/governmentwide-initiatives/federal-highperformance-buildings
248,GSA's Climate Change Risk Management Plan,https://www.sustainability.gov/pdfs/gsa-2021-cap.pdf,OK (200),env=external. tld=all
249,https://insite.gsa.gov/services-and-offices/office-of-governmentwide-policy/office-of-technology-policy,https://insite.gsa.gov/services-and-offices/office-of-governmentwide-policy/office-of-technology-policy,OK (200),env=external. tld=all. Domain 'insite.gsa.gov' is internal/restricted — results may fail or require authentication from outside VPN. Redirected (HEAD) → https://auth.gsa.gov/oauth2/v1/authorize?client_id=0oabren9fzQyIdP7A4h7&response_type=code&scope=openid%20email%20profile&redirect_uri=https%3A//insite.gsa.gov/openid-connect/okta&state=T-kuZreva2HWnedkSD2yIgz1JHBV5AnK0li0rjzIHs4&code_challenge_method=S256&code_challenge=9PQYr-r74YzFKzIg2mg0iAh8b4BY4EZqNuULnccESiw
250,https://www.gsa.gov/policy-regulations/policy/information-technology-policy/it-accessibility-section-508,https://www.gsa.gov/policy-regulations/policy/information-technology-policy/it-accessibility-section-508,NOT FOUND (404),env=external. tld=all. HEAD returned 404; confirming with GET
251,https://www.gsa.gov/policy-regulations/policy/federal-advisory-committee-act-faca-management-overview,https://www.gsa.gov/policy-regulations/policy/federal-advisory-committee-act-faca-management-overview,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.gsa.gov/policy-regulations/policy/faca-overview
252,https://www.gsa.gov/far,https://www.gsa.gov/far,NOT FOUND (404),env=external. tld=all. HEAD returned 404; confirming with GET
253,FAR | Acquisition.GOV,https://www.acquisition.gov/browse/index/far,OK (200),env=external. tld=all
254,https://www.gsa.gov/gsam,https://www.gsa.gov/gsam,NOT FOUND (404),env=external. tld=all. HEAD returned 404; confirming with GET
255,General Services Acquisition Manual (GSAM),https://www.acquisition.gov/browse/index/gsam,OK (200),env=external. tld=all
